Subject Area Name,Table Name,Column Name,Column Comment,Column Data_Type,Column Null_Option,View Name,View Comment
ONS Metadata Model,role,role_identifier,A simple alphanumeric code representing a distinct role that can be held in relation to a resource.,STRING,Not Null,,
ONS Metadata Model,role,role_name,The name of the role.,STRING,Not Null,,
ONS Metadata Model,role,role_description,The description of the role.,STRING,Not Null,,
ONS Metadata Model,role,attribution,"Attribution is the ascribing of an entity to an agent. When an entity e is attributed to agent ag, entity e was generated by some unspecified activity that in turn was associated to agent ag. Thus, this relation is useful when the activity is not known, or irrelevant.

prov:Attribution",ArrayOfObject,Not Null,,
ONS Metadata Model,role,role_identifier,A simple alphanumeric code representing a distinct role that can be held in relation to a resource.,STRING,Not Null,,
ONS Metadata Model,role,agent_identifier,A system-assigned unique identifier for the agent.,STRING,Not Null,,
ONS Metadata Model,role,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,relatedresource,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,relatedresource,related_resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,relatedresource,relatedresource_relationship_type,The nature of the relationship between the described resource and the referenced resource. Choose from a controlled vocabulary. (this vocabularly isn't established yet),STRING,Not Null,,
ONS Metadata Model,datasetseries,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,datasetseries,datasetseries_first_identifier,"The identifier of the first resource in an ordered collection or series of resources, to which the current resource belongs.

dcat:first",STRING,Not Null,,
ONS Metadata Model,datasetseries,datasetseries_last_identifier,"The identifier of the last resource in an ordered collection or series of resources, to which the current resource belongs.

dcat: last",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_identifier,A system-assigned unique identifier for the specific distribution,STRING,Not Null,,
ONS Metadata Model,distribution,distribution_media_type,"The media type of the distribution as defined by IANA IANA-MEDIA-TYPES.

URI: dcat:mediaType



Suggested Regex pattern: ^application/\S+|^audio/\S+|^font/\S+|^image/\S+|^message/\S+|^model/\S+|^multipart/\S+|^text/\S+|^video/\S+

Could also be a code list.

See also : https://co-cddo.github.io/ukgov-metadata-exchange-model/mediaType/

https://www.iana.org/assignments/media-types/media-types.xhtml",STRING,Null,,
ONS Metadata Model,distribution,distribution_format,"A simple alphanumeric code representing the file format of the distribution. Not to be used if the type of the distribution is defined by IANA - if media type is filled out then format isn't needed.

This could potentially be a string.

dcterms:format",STRING,Null,,
ONS Metadata Model,distribution,distribution_title,"The full and formal name given to an information resource.

A name given to the distribution.

URI: dct:title

https://co-cddo.github.io/ukgov-metadata-exchange-model/title/
Ex: Distribution-os-postcodes-geopackage-distribution
Distribution-os-postcodes-excel-distribution-minimal
Distribution-os-postcodes-csv-distribution",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_download_url,"The electronic location where the item (file) being described can be found.

The URL of the downloadable file in a given format. E.g., CSV file or RDF file. The format is indicated by the distribution's dcterms:format and/or dcat:mediaType.

URI: dcat:downloadURL

dcat:downloadURL SHOULD be used for the URL at which this distribution is available directly, typically through a HTTP Get request.

https://co-cddo.github.io/ukgov-metadata-exchange-model/downloadURL/",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_byte_size_amount,"The filesize of the item (file) being described.

The size of the distribution in bytes.

URI: dcat:byteSize

http://co-cddo.github.io/ukgov-metadata-exchange-model/byteSize/",INTEGER,Not Null,,
ONS Metadata Model,distribution,distribution_replaces_identifier,"The identifier for a related distribution that is supplanted, displaced, or superseded by the described distribution

dcterms:replaces",STRING,Null,,
ONS Metadata Model,distribution,distribution_version_notes_description,"A description of changes between this version and the previous version of the resource [VOCAB-ADMS]. In the distribution's case this explains the reason for the replacement, if a replacement identifier is present.

adms:versionNotes",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_language,"A simple alphanumeric code representing a language of the resource. This refers to the natural language used for textual metadata (i.e., titles, descriptions, etc.) of a cataloged resource (i.e., dataset or service) or the textual values of a dataset distribution.

dcterms:language

Usage note:	If representations of a dataset are available for each language separately, define an instance of dcat:Distribution for each language and describe the specific language of each distribution using dcterms:language (i.e., the dataset will have multiple dcterms:language values and each distribution will have just one as the value of its dcterms:language property). In case of multilingual distributions, the distributions will have multiple dcterms:language values.

(datasets can have multiple languages, however each distribution will have only one)

",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_release_date,"The date on which an information resource was originally published or otherwise made publicly available for the first time.

dcterms:issued

see also : https://co-cddo.github.io/ukgov-metadata-exchange-model/issued/",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_created_date,"The date on which the content of a dataset is created or compiled.

dcterms:created",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_status,"A simple alphanumeric code representing the status of the resource in the context of a particular workflow process [VOCAB-ADMS].

I envison this as a lifecycle status code which can be used to indicate the ""currency"" of a distribution.

adms:status

Examples of life-cycle statuses include:

Those defined in the ISO standard for item registration [ISO-19135] (accepted / not accepted, deprecated, experimental, reserved, retired, stable, submitted, superseded, valid / invalid).
The progress codes defined in [ISO-19115] (accepted, completed, deprecated, final, historical archive, not accepted, obsolete, ongoing, pending, planned, proposed, required, retired, superseded, tentative, under development, valid, withdrawn).
The ADMS Status vocabulary [ADMS-SKOS], used in [DCAT-AP], which includes four statuses: completed, deprecated, under development, and withdrawn.
The dataset statuses [EUV-DS] and concept statuses [EUV-CS] vocabularies from the EU Vocabularies registry.
The UK Government Linked Data Registry project [UKGOVLD-REG] provides an example of how the life-cycle statuses defined in [ISO-19135] can be used in a registry, along with the criteria for status transition.",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_replaced_by_identifier,A system-assigned unique identifier for the specific distribution,STRING,Null,,
ONS Metadata Model,distribution,distribution_access_rights,"A simple alphanumeric code representing the rights statement that concerns how the distribution is accessed.

URI: dct:accessRights

This could be a code that indicates whether the data is openly availalble, limited to internal access, or further limited to permissions groups. I will need support defining this further. - Sam",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_license,"Reference to the legal document outlining access and usage rights for an information resource.

A legal document under which the distribution is made available.

URI: dct:license

https://co-cddo.github.io/ukgov-metadata-exchange-model/licence/

note: This could refer to a code referencing the various licenses or be a URL of the actual document? I think for the start a set of standard codes would be helpful/easiest. DCAT uk guidelines say:

""Rules as per Open Data Policy, all information and data that is made publicly available by HMG is likely to be released under the Open Government licence unless it is exempt under specific conditions. Any other applicable licences should be explicitly stated.""

so unless there's a huge variation of licences could have a list...
",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_security_classification_code,"A simple alphanumeric code representing an information security designation that identifies the minimum level of protection assigned to an information resource.

URI: ukgov_metadata:securityClassification

code list (uk govt security classifications )here: https://www.gov.uk/government/publications/security-policy-framework/hmg-security-policy-framework#information-security",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_access_url,"A URL of the resource that gives access to a distribution of the dataset. E.g., landing page, feed, SPARQL endpoint.

dcat:accessURL

dcat:accessURL SHOULD be used for the URL of a service or location that can provide access to this distribution, typically through a Web form, query or API call.

dcat:downloadURL is preferred for direct links to downloadable resources.

If the distribution(s) are accessible only through a landing page (i.e., direct download URLs are not known), then the landing page URL associated with the dcat:Dataset SHOULD be duplicated as access URL on a distribution (see 5.7 Dataset available only behind some Web page).",STRING,Null,,
ONS Metadata Model,distribution,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_access_service_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,distribution,distribution_modified_date,"Most recent date on which the distribution was changed, updated or modified.

dcterms:modified

This relates to the actual distribution not the catalogue record of the dataset",STRING,Not Null,,
