Subject Area Name,Table Name,Column Name,Column Comment,Column Data_Type,Column Null_Option,View Name,View Comment
ONS Metadata Model,dataset_dataservice_access,dataset_dataservice_access_identifier,A system-assigned unique identifier for this connection.,STRING,Not Null,,
ONS Metadata Model,dataset_dataservice_access,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,dataset_dataservice_access,dataservice_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,dataset,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,dataset,dataset_frequency,"A simple alphanumeric code representing the frequency at which a dataset is published.

dcterms:accrualPeriodicity

range is dcterms:Frequency",STRING,Not Null,,
ONS Metadata Model,dataset,dataset_geographical_coverage,A simple alphanumeric code representing the spatial/geographical area covered by the dataset.,STRING,Not Null,,
ONS Metadata Model,dataset,dataset_spatial_resolution,"A simple alphanumeric code representing the lowest level of geography covered by this dataset.

(in DCAT this is 

dcat:spatialResolutionInMeters
Definition:	Minimum spatial separation resolvable in a dataset, measured in meters. 

But I've not seen this is in use throughout ONS )",STRING,Not Null,,
ONS Metadata Model,dataset,dataset_temporal_coverage_start_date,The calendar date that ...,DATE,Not Null,,
ONS Metadata Model,dataset,dataset_temporal_coverage_end_date,The calendar date that ...,DATE,Not Null,,
ONS Metadata Model,dataset,dataset_previous_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,dataset,dataset_next_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,dataset,dataset_in_series_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,dataset,dataset_temporal_coverage_duration,"The temporal period that the dataset covers.
Encoded as per duration standard",STRING,Not Null,,
ONS Metadata Model,agent,agent_identifier,A system-assigned unique identifier for the agent.,STRING,Not Null,,
ONS Metadata Model,agent,agent_name,"The name of the agent.

The name of something is a simple textual string.

foaf:name",STRING,Not Null,,
ONS Metadata Model,agent,agent_homepage,"A homepage for an agent. The homepage property relates something to a homepage about it.

A 'homepage' in this sense is a public Web document, typically but not necessarily available in HTML format. The page has as a topic the thing whose homepage it is. The homepage is usually controlled, edited or published by the thing whose homepage it is; as such one might look to a homepage for information on its owner from its owner. This works for people, companies, organisations etc.

foaf:homepage

foaf allows multiple homepages. suggesting we capture only the main one, or none at all.
",ARRAY,Null,,
ONS Metadata Model,agent,agent_contact_name,"The contact name of the agent - to be used when the agent is an organisation. See also Agent name.

foaf:name",STRING,Null,,
ONS Metadata Model,agent,agent_email,"The email address as a mailto URI. Used for communication purposes.

vcard:email",STRING,Not Null,,
ONS Metadata Model,agent,agent_telephone,"The landline or mobile phone number for the agent.

vcard:tel",STRING,Null,,
ONS Metadata Model,agent,agent_created_date,"The calendar date that this agent was created (in the catalogue)

dcterms:created",STRING,Not Null,,
ONS Metadata Model,agent,agent_modified_date,"The calendar date that the agent was last modified in the catalogue.

dcterms:modified",STRING,Not Null,,
ONS Metadata Model,agent,agent_type,"A simple alphanumeric code representing the type of the agent. 

This could include things like ONS individual, ONS team, UK Govt, Business... anything really. 

",STRING,Not Null,,
ONS Metadata Model,agent,attribution,"Attribution is the ascribing of an entity to an agent. When an entity e is attributed to agent ag, entity e was generated by some unspecified activity that in turn was associated to agent ag. Thus, this relation is useful when the activity is not known, or irrelevant.

prov:Attribution",ArrayOfObject,Not Null,,
ONS Metadata Model,agent,role_identifier,A simple alphanumeric code representing ???,STRING,Not Null,,
ONS Metadata Model,agent,agent_identifier,A system-assigned unique identifier for the agent.,STRING,Not Null,,
ONS Metadata Model,agent,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,attribution,role_identifier,A simple alphanumeric code representing a distinct role that can be held in relation to a resource.,STRING,Not Null,,
ONS Metadata Model,attribution,agent_identifier,A system-assigned unique identifier for the agent.,STRING,Not Null,,
ONS Metadata Model,attribution,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,dataservice,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,dataservice,dataservice_endpoint_description,"A description of the services available via the end-points, including their operations, parameters etc.

URI: dcat:endpointDescription",STRING,Not Null,,
ONS Metadata Model,dataservice,dataservice_endpoint_url,"The root location or primary endpoint of the service (a Web-resolvable IRI).

dcat:endpointURL


https://www.w3.org/TR/vocab-dcat-3/#Property:data_service_endpoint_url

See also https://co-cddo.github.io/ukgov-metadata-exchange-model/endpointURL/ with definition: ""The electronic location where the item (file) being described can be found. Note that there could be a security risk in sharing the endpoint URL for internal services, e.g. hackers can target the endpoint if they become aware of it.""

",STRING,Not Null,,
ONS Metadata Model,checksum,distribution_identifier,A system-assigned unique identifier for the specific distribution,STRING,Not Null,,
ONS Metadata Model,checksum,checksum_algorithm,"A simple alphanumeric code representing the algorithm used to produce the subject Checksum [SPDX].

spdx:algorithm

Version 2.2 of [SPDX] defines individuals for the following algorithms: MD2, MD4, MD5, MD6, SHA-1, SHA-224, SHA-256, SHA-384, SHA-512 - do we have a similar list?",STRING,Not Null,,
ONS Metadata Model,checksum,checksum_value,"The checksumValue property provides a lowercase hexadecimal encoded digest value produced using a specific algorithm [SPDX].

spdx:checksumValue",INTEGER,Not Null,,
ONS Metadata Model,resource,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,resource,resource_title,"A name given to the dataset series

dcterms:title",STRING,Not Null,,
ONS Metadata Model,resource,resource_alternative_title,"An alternative name used as a substitute or additional access point for an information resource.

Note that this can be an acronym. Example: HESA as an alternative title for Higher Education Statistics Agency [dataset]
URI: dct:alternative",STRING,Null,,
ONS Metadata Model,resource,resource_description,"A free-text account of the resource.

dcterms:description",STRING,Not Null,,
ONS Metadata Model,resource,resource_theme,"The main category of the resource. A resource can have multiple themes.

dcat:theme",STRING,Not Null,,
ONS Metadata Model,resource,resource_type,"The nature or genre of the resource.

dcterms:type

This should relate to a controlled vocabulary, preferably a public one. DCAT suggests something like the ISO-19115-1 scope codes https://standards.iso.org/iso/19115/resources/Codelists/gml/MD_ScopeCode.xml . This is probably more one for ontology!",STRING,Not Null,,
ONS Metadata Model,resource,resource_created_date,"The date on which the content of a resource is created or compiled.

dcterms:created",STRING,Not Null,,
ONS Metadata Model,resource,resource_issued_date,"The date on which an information resource was originally published or otherwise made publicly available for the first time.

dcterms:issued

see also : https://co-cddo.github.io/ukgov-metadata-exchange-model/issued/",STRING,Null,,
ONS Metadata Model,resource,resource_modified_date,"Most recent date on which the dataset was changed, updated or modified.

dcterms:modified

This relates to the actual dataset, not the catalogue record of the dataset",STRING,Not Null,,
ONS Metadata Model,resource,resource_version_text,"The version indicator (name or identifier) of a resource.

URI: dcat:version

https://co-cddo.github.io/ukgov-metadata-exchange-model/version/

Guidelines
The value of this field should follow the versioning scheme for the data asset. This could use semantic version or some date based approach.
",STRING,Null,,
ONS Metadata Model,resource,resource_version_notes_description,"A description of changes between this version and the previous version of the resource [VOCAB-ADMS].

adms:versionNotes",STRING,Null,,
ONS Metadata Model,resource,resource_replaces_identifier,"A unique identifier of the resource being described or cataloged.


http://purl.org/dc/terms/replaces

dct:replaces",STRING,Null,,
ONS Metadata Model,resource,resourcelanding_page_url,"A Web page that can be navigated to in a Web browser to gain access to the catalog, a dataset, its distributions and/or additional information.

dcat:landingPage",STRING,Null,,
ONS Metadata Model,resource,resource_access_rights_code,"A simple alphanumeric code representing the rights statement that concerns how the resource is accessed.

URI: dct:accessRights

",STRING,Not Null,,
ONS Metadata Model,resource,resource_license,"Reference to the legal document outlining access and usage rights for an information resource.

A legal document under which the distribution is made available.

URI: dct:license

https://co-cddo.github.io/ukgov-metadata-exchange-model/licence/

note: This could refer to a code referencing the various licenses or be a URL of the actual document? I think for the start a set of standard codes would be helpful/easiest. DCAT uk guidelines say:

""Rules as per Open Data Policy, all information and data that is made publicly available by HMG is likely to be released under the Open Government licence unless it is exempt under specific conditions. Any other applicable licences should be explicitly stated.""

so unless there's a huge variation of licences could have a list...
",STRING,Not Null,,
ONS Metadata Model,resource,resource_creator,"The business entity responsible for creating or compiling the original content of an information resource.

URI: dct:creator

https://co-cddo.github.io/ukgov-metadata-exchange-model/creator/

Usage notes : A creator is almost always an organisation, not an individual. The contributor element can be used to identify specific individuals involved in the creation of the described resource. However, there may be rare occasions where the creator is an individual.

creator may be a department, agency, board, commission, or other entity of the UK Government, or a non-government entity under contract to the Government. The organisation name should be the official name, not an abbreviation or acronym. Do not include the names of organisation units such as divisions and/or branches.",STRING,Not Null,,
ONS Metadata Model,resource,resource_has_version_identifier,"Resource identifier

This resource has a more specific, versioned resource [PAV].

dcat:hasVersion",STRING,Null,,
ONS Metadata Model,resource,resource_replaced_by_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Null,,
ONS Metadata Model,resource,resource_status_code,"A simple alphanumeric code representing the status of the resource in the context of a particular workflow process [VOCAB-ADMS].

I envison this as a lifecycle status code which can be used to indicate the ""currency"" of a distribution.

adms:status

Examples of life-cycle statuses include:

Those defined in the ISO standard for item registration [ISO-19135] (accepted / not accepted, deprecated, experimental, reserved, retired, stable, submitted, superseded, valid / invalid).
The progress codes defined in [ISO-19115] (accepted, completed, deprecated, final, historical archive, not accepted, obsolete, ongoing, pending, planned, proposed, required, retired, superseded, tentative, under development, valid, withdrawn).
The ADMS Status vocabulary [ADMS-SKOS], used in [DCAT-AP], which includes four statuses: completed, deprecated, under development, and withdrawn.
The dataset statuses [EUV-DS] and concept statuses [EUV-CS] vocabularies from the EU Vocabularies registry.
The UK Government Linked Data Registry project [UKGOVLD-REG] provides an example of how the life-cycle statuses defined in [ISO-19135] can be used in a registry, along with the criteria for status transition.",STRING,Not Null,,
ONS Metadata Model,resource,resource_language,"A simple alphanumeric code representing a language of the resource. This refers to the natural language used for textual metadata (i.e., titles, descriptions, etc.) of a cataloged resource (i.e., dataset or service) or the textual values of a dataset distribution.

dcterms:language

Usage note:	If representations of a dataset are available for each language separately, define an instance of dcat:Distribution for each language and describe the specific language of each distribution using dcterms:language (i.e., the dataset will have multiple dcterms:language values and each distribution will have just one as the value of its dcterms:language property). In case of multilingual distributions, the distributions will have multiple dcterms:language values.

(datasets can have multiple languages, however each distribution will have only one)

",ARRAY,Not Null,,
ONS Metadata Model,resource,resource_previous_version_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Null,,
ONS Metadata Model,resource,resource_brief_description,"A free-text account of the resource.

dcterms:description

This is a concise description with a strict character limit.",STRING,Null,,
ONS Metadata Model,resource,resource_contributor,"An entity responsible for making contributions to the resource. 
URI: dct:contributor

https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/contributor/

There can be multiple contributors. They should not be the same entity as the creator
",ARRAY,Null,,
ONS Metadata Model,resource,resource_is_version_of_identifier,"A related resource of which the described resource is a version, edition, or adaptation.

http://purl.org/dc/terms/isVersionOf",STRING,Null,,
ONS Metadata Model,resource,resource_keyword,"Uncontrolled terms (words or phrases) assigned to describe an information resource.

URI: dcat:keyword

https://co-cddo.github.io/ukgov-metadata-exchange-model/keyword/

Usage Notes
Purpose
Keywords can serve as additional access points to assist discovery and retrieval.",ARRAY,Null,,
ONS Metadata Model,resource,resource_current_version_identifier,"This resource has a more specific, versioned resource with equivalent content [PAV]. The identifier of that resource.

dcat:hasCurrentVersion",STRING,Null,,
ONS Metadata Model,resource,resource_security_classification,"A simple alphanumeric code representing an information security designation that identifies the minimum level of protection assigned to an information resource.

URI: ukgov_metadata:securityClassification

code list (uk govt security classifications )here: https://www.gov.uk/government/publications/security-policy-framework/hmg-security-policy-framework#information-security",STRING,Not Null,,
ONS Metadata Model,resource,resource_contactpoint_name,"Relevant contact information for the catalogued resource. Use of vCard is recommended.

dcat:contactPoint

In the longer term this could be done better through the agent/role/attribution setup (which will be needed for additional roles such as IAO, data steward, etc)  but for now - ""Who, in the ONS, is the person you talk to about this resource?"" This should just be a name.",STRING,Not Null,,
ONS Metadata Model,resource,relatedresource,"A container element for related resources adding metadata related to a relationship between datasets and its purpose.

The sub-elements here are mandatory based on UK Xgov standards 
https://co-cddo.github.io/ukgov-metadata-exchange-model/relatedResource/

",ArrayOfObject,Not Null,,
ONS Metadata Model,resource,resource_identifier,A system-assigned unique identifier for ???,STRING,Not Null,,
ONS Metadata Model,resource,related_resource_identifier,A system-assigned unique identifier for ???,STRING,Not Null,,
ONS Metadata Model,resource,relatedresource_relationship_type,The nature of the relationship between the described resource and the referenced resource. Choose from a controlled vocabulary. (this vocabularly isn't established yet),STRING,Not Null,,
ONS Metadata Model,resource,dataset,"A collection of data (or information), published or curated by a single agent, and available for access or download in one or more representations.

URI: dcat:Dataset",Object,Not Null,,
ONS Metadata Model,resource,resource_identifier,"A unique identifier of the resource being described or cataloged.

dcterms:identifier",STRING,Not Null,,
ONS Metadata Model,resource,dataset_geographical_coverage,A simple alphanumeric code representing the spatial/geographical area covered by the dataset.,STRING,Not Null,,
ONS Metadata Model,resource,dataset_temporal_coverage_duration,"The temporal period that the dataset covers.
Encoded as per duration standard",STRING,Not Null,,
ONS Metadata Model,resource,dataset_spatial_resolution,"A simple alphanumeric code representing the lowest level of geography covered by this dataset.

(in DCAT this is 

dcat:spatialResolutionInMeters
Definition:	Minimum spatial separation resolvable in a dataset, measured in meters. 

But I've not seen this is in use throughout ONS )",STRING,Not Null,,
ONS Metadata Model,resource,dataset_temporal_coverage_start_date,The calendar date that ...,DATE,Not Null,,
ONS Metadata Model,resource,dataset_temporal_coverage_end_date,The calendar date that ...,DATE,Not Null,,
ONS Metadata Model,resource,dataset_frequency,"A simple alphanumeric code representing the frequency at which a dataset is published.

dcterms:accrualPeriodicity

range is dcterms:Frequency",STRING,Not Null,,
ONS Metadata Model,resource,dataset_previous_identifier,A system-assigned unique identifier for ???,STRING,Not Null,,
ONS Metadata Model,resource,dataset_next_identifier,A system-assigned unique identifier for ???,STRING,Not Null,,
ONS Metadata Model,resource,dataset_in_series_identifier,A system-assigned unique identifier for ???,STRING,Not Null,,
ONS Metadata Model,resource,distribution,"A specific representation of a dataset. A dataset might be available in multiple serializations that may differ in various ways, including natural language, media-type or format, schematic organization, temporal and spatial resolution, level of detail or profiles (which might specify any or all of the above).

URI: dcat:distribution",ArrayOfObject,Not Null,,
ONS Metadata Model,resource,distribution_identifier,A system-assigned unique identifier for the specific distribution,STRING,Not Null,,
ONS Metadata Model,resource,distribution_media_type,"The media type of the distribution as defined by IANA IANA-MEDIA-TYPES.

URI: dcat:mediaType



Suggested Regex pattern: ^application/\S+|^audio/\S+|^font/\S+|^image/\S+|^message/\S+|^model/\S+|^multipart/\S+|^text/\S+|^video/\S+

Could also be a code list.

See also : https://co-cddo.github.io/ukgov-metadata-exchange-model/mediaType/

https://www.iana.org/assignments/media-types/media-types.xhtml",STRING,Not Null,,
ONS Metadata Model,resource,distribution_format,"A simple alphanumeric code representing the file format of the distribution. Not to be used if the type of the distribution is defined by IANA - if media type is filled out then format isn't needed.

This could potentially be a string.

dcterms:format",STRING,Not Null,,
ONS Metadata Model,resource,distribution_title,"The full and formal name given to an information resource.

A name given to the distribution.

URI: dct:title

https://co-cddo.github.io/ukgov-metadata-exchange-model/title/
Ex: Distribution-os-postcodes-geopackage-distribution
Distribution-os-postcodes-excel-distribution-minimal
Distribution-os-postcodes-csv-distribution",STRING,Not Null,,
ONS Metadata Model,resource,distribution_download_url,"The electronic location where the item (file) being described can be found.

The URL of the downloadable file in a given format. E.g., CSV file or RDF file. The format is indicated by the distribution's dcterms:format and/or dcat:mediaType.

URI: dcat:downloadURL

dcat:downloadURL SHOULD be used for the URL at which this distribution is available directly, typically through a HTTP Get request.

https://co-cddo.github.io/ukgov-metadata-exchange-model/downloadURL/",STRING,Not Null,,
ONS Metadata Model,resource,distribution_byte_size_amount,"The filesize of the item (file) being described.

The size of the distribution in bytes.

URI: dcat:byteSize

http://co-cddo.github.io/ukgov-metadata-exchange-model/byteSize/",INTEGER,Not Null,,
ONS Metadata Model,resource,distribution_replaces_identifier,"The identifier for a related distribution that is supplanted, displaced, or superseded by the described distribution

dcterms:replaces",STRING,Null,,
ONS Metadata Model,resource,distribution_version_notes_description,"A description of changes between this version and the previous version of the resource [VOCAB-ADMS]. In the distribution's case this explains the reason for the replacement, if a replacement identifier is present.

adms:versionNotes",STRING,Not Null,,
ONS Metadata Model,resource,distribution_language,"A simple alphanumeric code representing a language of the resource. This refers to the natural language used for textual metadata (i.e., titles, descriptions, etc.) of a cataloged resource (i.e., dataset or service) or the textual values of a dataset distribution.

dcterms:language

Usage note:	If representations of a dataset are available for each language separately, define an instance of dcat:Distribution for each language and describe the specific language of each distribution using dcterms:language (i.e., the dataset will have multiple dcterms:language values and each distribution will have just one as the value of its dcterms:language property). In case of multilingual distributions, the distributions will have multiple dcterms:language values.

(datasets can have multiple languages, however each distribution will have only one)

",STRING,Not Null,,
ONS Metadata Model,resource,distribution_release_date,"The date on which an information resource was originally published or otherwise made publicly available for the first time.

dcterms:issued

see also : https://co-cddo.github.io/ukgov-metadata-exchange-model/issued/",STRING,Not Null,,
ONS Metadata Model,resource,distribution_created_date,"The date on which the content of a dataset is created or compiled.

dcterms:created",STRING,Not Null,,
ONS Metadata Model,resource,distribution_status,"A simple alphanumeric code representing the status of the resource in the context of a particular workflow process [VOCAB-ADMS].

I envison this as a lifecycle status code which can be used to indicate the ""currency"" of a distribution.

adms:status

Examples of life-cycle statuses include:

Those defined in the ISO standard for item registration [ISO-19135] (accepted / not accepted, deprecated, experimental, reserved, retired, stable, submitted, superseded, valid / invalid).
The progress codes defined in [ISO-19115] (accepted, completed, deprecated, final, historical archive, not accepted, obsolete, ongoing, pending, planned, proposed, required, retired, superseded, tentative, under development, valid, withdrawn).
The ADMS Status vocabulary [ADMS-SKOS], used in [DCAT-AP], which includes four statuses: completed, deprecated, under development, and withdrawn.
The dataset statuses [EUV-DS] and concept statuses [EUV-CS] vocabularies from the EU Vocabularies registry.
The UK Government Linked Data Registry project [UKGOVLD-REG] provides an example of how the life-cycle statuses defined in [ISO-19135] can be used in a registry, along with the criteria for status transition.",STRING,Not Null,,
ONS Metadata Model,resource,distribution_replaced_by_identifier,A system-assigned unique identifier for the specific distribution,STRING,Null,,
ONS Metadata Model,resource,distribution_access_rights,"A simple alphanumeric code representing the rights statement that concerns how the distribution is accessed.

URI: dct:accessRights

This could be a code that indicates whether the data is openly availalble, limited to internal access, or further limited to permissions groups. I will need support defining this further. - Sam",STRING,Not Null,,
ONS Metadata Model,resource,distribution_license,"Reference to the legal document outlining access and usage rights for an information resource.

A legal document under which the distribution is made available.

URI: dct:license

https://co-cddo.github.io/ukgov-metadata-exchange-model/licence/

note: This could refer to a code referencing the various licenses or be a URL of the actual document? I think for the start a set of standard codes would be helpful/easiest. DCAT uk guidelines say:

""Rules as per Open Data Policy, all information and data that is made publicly available by HMG is likely to be released under the Open Government licence unless it is exempt under specific conditions. Any other applicable licences should be explicitly stated.""

so unless there's a huge variation of licences could have a list...
",STRING,Not Null,,
ONS Metadata Model,resource,distribution_security_classification_code,"A simple alphanumeric code representing an information security designation that identifies the minimum level of protection assigned to an information resource.

URI: ukgov_metadata:securityClassification

code list (uk govt security classifications )here: https://www.gov.uk/government/publications/security-policy-framework/hmg-security-policy-framework#information-security",STRING,Not Null,,
